WorkDate,Customer,Location,BusinessType,OrderCount,NumberOfPieces,TotalRevenue
2020-01-02,Amazon,Chicago,Final Mile,38,190,2084.09
2020-01-02,Home Depot,Sacramento,Final Mile,34,136,6153.01
2020-01-02,Home Depot,Chicago,Final Mile,43,215,15691.72
2020-01-02,Home Depot,Detroit,Final Mile,41,164,6490.39
2020-01-02,Home Depot,Atlanta,Final Mile,44,220,10069.65
2020-01-02,Home Depot,Houston,Final Mile,49,196,9040.49
2020-01-02,T.J. Maxx,Seattle,Middle Mile,18,72,730.11
2020-01-02,T.J. Maxx,Chicago,Middle Mile,33,165,1490.64
2020-01-02,Home Goods,San Francisco,Middle Mile,34,170,1199.8
2020-01-02,Home Goods,Chicago,Middle Mile,18,90,1179.61
2020-01-02,Home Goods,Detroit,Middle Mile,41,205,1326.84
2020-01-02,Home Goods,Los Angeles,Middle Mile,30,150,1519.02
2020-01-02,Home Goods,Birmingham,Middle Mile,32,128,895.8
2020-01-02,Chick-Fil-A,Tampa Bay,Final Mile,30,150,1493.43
2020-01-02,Home Depot,Dallas,Final Mile,39,195,3912.05
2020-01-02,Chipotle,Detroit,Final Mile,15,90,393.58
2020-01-02,Chipotle,Chicago,Final Mile,46,184,2565.8
2020-01-02,Chipotle,Miami,Final Mile,12,60,1007.96
2020-01-02,Lowes,Milwaukee,Final Mile,8,40,1201.04
2020-01-02,Lowes,Detroit,Final Mile,12,60,491.06
2020-01-02,Lowes,Sacramento,Final Mile,23,115,4729.94
2020-01-02,Starbucks,Nashville,Middle Mile,36,216,3315.71
2020-01-02,Starbucks,Seattle,Middle Mile,38,190,2893.95
2020-01-02,Starbucks,Miami,Middle Mile,36,180,782.46
2020-01-02,Starbucks,San Diego,Middle Mile,36,180,3156.56
2020-01-02,Starbucks,Tampa Bay,Middle Mile,16,80,346.5
2020-01-02,Starbucks,Minneapolis,Middle Mile,18,90,1352.09
2020-01-02,Starbucks,Milwaukee,Middle Mile,32,160,1384.1
2020-01-02,Starbucks,Los Angeles,Middle Mile,39,195,2993.41
2020-01-02,Chipotle,Houston,Final Mile,33,165,2484.61
2020-01-02,Home Depot,Milwaukee,Final Mile,20,120,4328.11
2020-01-02,Chick-Fil-A,Detroit,Final Mile,33,165,1251.7
2020-01-02,Costco,Detroit,First Mile,7,35,730.94
2020-01-02,Home Depot,Nashville,Final Mile,49,245,6673.36
2020-01-02,Amazon,Atlanta,Final Mile,41,205,4616.0
2020-01-02,Amazon,San Francisco,Final Mile,27,135,676.54
2020-01-02,Amazon,San Diego,Final Mile,41,246,1651.41
2020-01-02,Amazon,New York,Final Mile,16,80,1860.2
2020-01-02,Amazon,Nashville,Final Mile,15,75,1518.77
2020-01-02,Amazon,Dallas,Final Mile,40,240,5417.87
